Category,Indicator,Metro,Year_Desc,Year,Value,Formatted_Value,Rank,Rank_Order,Key_Indicator,Data_Type
Economy,Gross Regional Product Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (15-16 data),2018,0.011,1.10%,11,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (16-17 data),2019,0.028,2.80%,10,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (12-13 data),2015,0.01685629723780988,1.69%,10,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (13-14 data),2016,0.02028384540250289,2.03%,9,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (14-15 data),2017,0.022839166900185733,2.28%,9,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (15-16 data),2018,0.020569378391746693,2.06%,9,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (16-17 data),2019,0.014192968610485445,1.42%,10,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (2013 data),2015,1283,"$1,283",2,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (2014 data),2016,1334,"$1,334",2,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (2015 data),2017,1390,"$1,390",2,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (2016 data),2018,1405,"$1,405",2,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (2017 data),2019,1460,"$1,460",2,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (2013 data),2015,0.747001113478,74.70%,2,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (2014 data),2016,0.7020095457216,70.20%,3,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (2015 data),2017,0.7458741377842119,74.59%,1,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (2016 data),2018,0.6280155066518243,62.80%,5,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (2017 data),2019,0.6639579505799733,66.40%,3,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (2013 data),2015,0.6666666666666666,66.67%,6,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (2014 data),2016,0.6,60.00%,9,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (2015 data),2017,0.619999999767552,62.00%,10,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (2016 data),2018,0.6730769230769231,67.31%,5,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (2017 data),2019,0.6730769230769231,67.31%,4,(highest to lowest),0,Percent
Economy,Employment Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2015 (2013 data),2015,0.07185970204937486,7.19%,8,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2016 (2014 data),2016,0.09023248843167642,9.02%,9,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2017 (2015 data),2017,0.0791438321642648,7.91%,8,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2018 (2016 data),2018,0.076,7.60%,8,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Boston-Cambridge-Newton, MA-NH Metro Area",2019 (2017 data),2019,0.06470337522438019,6.47%,9,(lowest to highest),1,Percent
Economy,Gross Regional Product Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (12-13 data),2015,0.01,1.00%,9,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (13-14 data),2016,0.025,2.50%,9,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (14-15 data),2017,0.052,5.20%,4,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (15-16 data),2018,0.037,3.70%,5,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (16-17 data),2019,0.035,3.50%,6,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (12-13 data),2015,0.20939249496911957,20.94%,1,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (13-14 data),2016,0.036388574237428556,3.64%,3,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (14-15 data),2017,0.04,4.00%,2,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (15-16 data),2018,0.036668109894938496,3.67%,1,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (16-17 data),2019,0.028,2.80%,2,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (2013 data),2015,960,$960,11,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (2014 data),2016,990,$990,11,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (2015 data),2017,1029,"$1,029",11,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (2016 data),2018,1044,"$1,044",11,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (2017 data),2019,1073,"$1,073",11,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (2013 data),2015,0.583425301640591,58.34%,11,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (2014 data),2016,0.5950921383326996,59.51%,11,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (2015 data),2017,0.616,61.60%,8,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (2016 data),2018,0.620905183485453,62.09%,7,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (2017 data),2019,0.6320649792726905,63.21%,6,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (2013 data),2015,0.6756756756756757,67.57%,4,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (2014 data),2016,0.6249999990931498,62.50%,7,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (2015 data),2017,0.6874999989406672,68.75%,4,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (2016 data),2018,0.7024390243902439,70.24%,4,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (2017 data),2019,0.7142857142857143,71.43%,3,(highest to lowest),0,Percent
Economy,Employment Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2015 (2013 data),2015,-0.001,-0.10%,1,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2016 (2014 data),2016,-0.013,-1.30%,1,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2017 (2015 data),2017,0.0408676936628426,4.09%,2,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2018 (2016 data),2018,0.04922706542348021,4.92%,4,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Charlotte-Concord-Gastonia, NC-SC Metro Area",2019 (2017 data),2019,0.023656486818889877,2.37%,1,(lowest to highest),1,Percent
Economy,Gross Regional Product Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (12-13 data),2015,-0.003,-0.30%,11,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (13-14 data),2016,0.017,1.70%,11,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (14-15 data),2017,0.025,2.50%,11,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (15-16 data),2018,0.014,1.40%,9,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (16-17 data),2019,0.015,1.50%,12,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (12-13 data),2015,0.014595685205615662,1.46%,11,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (13-14 data),2016,0.016955638459329847,1.70%,10,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (14-15 data),2017,0.01890120862504228,1.89%,11,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (15-16 data),2018,0.013503895271211788,1.35%,11,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (16-17 data),2019,0.008595913868776792,0.86%,11,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (2013 data),2015,1064,"$1,064",5,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (2014 data),2016,1093,"$1,093",5,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (2015 data),2017,1132,"$1,132",5,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (2016 data),2018,1141,"$1,141",5,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (2017 data),2019,1174,"$1,174",5,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (2013 data),2015,0.585040487954,58.50%,10,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (2014 data),2016,0.62600149478645,62.60%,7,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (2015 data),2017,0.616,61.60%,8,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (2016 data),2018,0.55837158341825,55.84%,12,(highest to lowest),0,Percent
Economy,Jobs Paying a Family Sustaining Wage,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (2017 data),2019,0.5655644837984347,56.56%,11,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (2013 data),2015,0.6136363636363636,61.36%,10,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (2014 data),2016,0.6373626361478092,63.74%,6,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (2015 data),2017,0.6249999987388895,62.50%,8,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (2016 data),2018,0.6,60.00%,9,(highest to lowest),0,Percent
Economy,Wage Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (2017 data),2019,0.6,60.00%,10,(highest to lowest),0,Percent
Economy,Employment Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2015 (2013 data),2015,0.12330621157401112,12.33%,11,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2016 (2014 data),2016,0.11844789032739433,11.84%,10,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2017 (2015 data),2017,0.10549815070234547,10.55%,11,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2018 (2016 data),2018,0.09926394685326001,9.93%,10,(lowest to highest),1,Percent
Economy,Employment Gap (White-Of Color),"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",2019 (2017 data),2019,0.08548953647875213,8.55%,10,(lowest to highest),1,Percent
Economy,Gross Regional Product Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2015 (12-13 data),2015,0.054,5.40%,2,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2016 (13-14 data),2016,0.046,4.60%,4,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2017 (14-15 data),2017,0.055,5.50%,3,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2018 (15-16 data),2018,0.015,1.50%,8,(highest to lowest),0,Percent
Economy,Gross Regional Product Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2019 (16-17 data),2019,0.039,3.90%,3,(highest to lowest),0,Percent
Economy,Yearly Job Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2015 (12-13 data),2015,0.034694097798172646,3.47%,5,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2016 (13-14 data),2016,0.03408302473111881,3.41%,5,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2017 (14-15 data),2017,0.03619175540542848,3.62%,5,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2018 (15-16 data),2018,0.027171757118149006,2.72%,8,(highest to lowest),1,Percent
Economy,Yearly Job Growth,"Dallas-Fort Worth-Arlington, TX Metro Area",2019 (16-17 data),2019,0.02611936862199996,2.61%,5,(highest to lowest),1,Percent
Economy,Average Weekly Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2015 (2013 data),2015,1047,"$1,047",7,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2016 (2014 data),2016,1084,"$1,084",6,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2017 (2015 data),2017,1114,"$1,114",7,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2018 (2016 data),2018,1128,"$1,128",7,(highest to lowest),0,Dollar
Economy,Average Weekly Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2019 (2017 data),2019,1159,"$1,159",7,(highest to lowest),0,Dollar
Economy,Jobs Paying a Family Sustaining Wage,"Dallas-Fort Worth-Arlington, TX Metro Area",2015 (2013 data),2015,0.59003036058745,59.00%,8,(highest to lowest),0,Percent
